DEPTH;CAL;NPHI;DT;GR;RHOB;RLLD;RT;BS
64.620.000;95.583;-0.0191;671.324;125.460;20.811;78.484.473;14.635.726;0    9.2500
64.625.000;95.346;-0.0190;671.324;119.300;20.674;77.270.000;14.536.139;0    9.2500
64.630.000;95.263;-0.0189;671.324;117.580;20.694;75.723.164;14.409.299;0    9.2500
64.635.000;95.234;-0.0189;671.324;113.040;20.759;74.130.723;14.278.718;0    9.2500
64.640.000;95.204;-0.0189;671.324;114.450;20.824;70.663.145;13.994.377;0    9.2500
64.645.000;95.173;-0.0189;671.324;116.860;20.884;47.478.223;12.093.213;0    9.2500
64.650.000;95.141;-0.0189;671.324;118.860;20.889;19.788.691;98.226.729;92.500
64.655.000;95.110;-0.0189;671.324;118.750;20.966;22.418.740;10.038.336;0    9.2500
64.660.000;95.092;-0.0189;671.324;122.830;20.969;43.585.547;11.774.014;0    9.2500
64.665.000;95.079;-0.0189;671.324;124.650;20.874;75.424.473;14.384.806;0    9.2500
64.670.000;95.067;-0.0189;671.324;125.520;20.967;79.511.953;14.719.980;0    9.2500
64.675.000;95.055;-0.0189;671.324;132.940;21.044;80.057.520;14.764.716;0    9.2500
64.680.000;95.043;-0.0189;671.324;136.530;20.863;80.604.727;14.809.587;0    9.2500
64.685.000;95.031;-0.0189;671.324;136.430;20.845;80.977.754;14.840.175;0    9.2500
64.690.000;95.019;-0.0189;671.324;142.440;20.806;76.027.754;14.434.275;0    9.2500
64.695.000;95.007;-0.0189;671.324;142.340;20.835;71.413.496;14.055.906;0    9.2500
64.700.000;94.995;-0.0189;671.324;142.250;20.907;74.190.605;14.283.629;0    9.2500
64.705.000;94.983;-0.0189;671.324;142.140;20.968;79.023.125;14.679.896;0    9.2500
64.710.000;94.971;-0.0189;671.324;142.070;21.013;69.562.168;13.904.097;0    9.2500
64.715.000;94.958;-0.0189;671.324;141.980;20.887;18.042.861;96.795.146;92.500
64.720.000;94.946;-0.0189;671.324;141.880;20.798;5.362.813;78.197.505;92.500
64.725.000;94.934;-0.0189;671.324;135.700;20.841;8.520.625;80.786.914;92.500
64.730.000;94.922;-0.0189;671.324;135.620;20.879;29.016.885;10.579.384;0    9.2500
64.735.000;94.910;-0.0189;671.324;134.140;20.771;75.176.992;14.364.513;0    9.2500
64.740.000;94.900;-0.0189;671.324;129.360;20.683;77.089.629;14.521.349;0    9.2500
