DEPTH,CAL,NPHI,DT,GR,RHOB,RLLD,RT,BS,RLLD_log
3181.0,9.971,0.12,65.6207,64.278,2.615,50.839,44.5615,9.875,3.928663776576271
3181.5,9.984,0.114,65.7527,66.315,2.62,53.356,46.6849,9.875,3.9769864362787977
3182.0,10.002,0.112,66.6288,70.269,2.643,59.162,51.5665,9.875,4.0802794438972665
3182.5,10.021,0.111,67.1756,74.965,2.647,66.632,57.8233,9.875,4.19918494263304
3183.0,10.044,0.106,67.3054,79.582,2.641,74.593,64.4643,9.875,4.3120466690268895
3183.5,10.067,0.099,66.9688,79.734,2.629,71.095,61.5703,9.875,4.264017010848338
3184.0,10.082,0.091,66.096,74.714,2.619,61.294,53.3969,9.875,4.115681958869457
3184.5,10.097,0.094,65.7776,69.892,2.62,52.177,45.7453,9.875,3.9546417847633304
3185.0,10.102,0.107,65.1576,67.065,2.639,47.081,41.4431,9.875,3.851869522608302
3185.5,10.106,0.12,64.1745,66.69,2.652,46.792,41.2003,9.875,3.8457122481407247
3186.0,10.101,0.134,63.6167,70.435,2.66,49.52,43.505,9.875,3.9023766283763406
3186.5,10.1,0.141,63.022,79.123,2.676,53.546,46.9001,9.875,3.980541097558547
3187.0,10.1,0.138,62.8639,83.758,2.684,57.858,50.5255,9.875,4.057991732756302
3187.5,10.106,0.124,63.3856,82.16,2.676,61.716,53.7634,9.875,4.122543216580779
3188.0,10.11,0.115,63.6787,80.235,2.664,60.728,52.938,9.875,4.106404876714467
3188.5,10.11,0.112,63.7027,78.146,2.655,54.284,47.5263,9.875,3.9942295242191244
3189.0,10.114,0.113,63.6216,76.61,2.662,47.267,41.6058,9.875,3.8558123775912287
3189.5,10.126,0.123,63.7719,76.864,2.665,44.714,39.4788,9.875,3.8002866516880673
3190.0,10.147,0.14,64.3099,81.163,2.656,47.546,41.8573,9.875,3.861697663476081
3190.5,10.168,0.152,64.8981,83.32,2.656,51.304,45.0438,9.875,3.937768721846562
3191.0,10.18,0.15,65.3758,84.168,2.667,54.29,47.5673,9.875,3.9943400479173596
3191.5,10.197,0.144,65.5133,85.826,2.67,55.396,48.5072,9.875,4.014507388980471
3192.0,10.215,0.137,65.723,85.664,2.662,52.613,46.1717,9.875,3.9629632374965302
3192.5,10.235,0.138,66.4388,83.463,2.652,45.18,39.9117,9.875,3.810654511039857
3193.0,10.255,0.145,66.9905,78.845,2.644,35.949,32.2419,9.875,3.5821012673684893
3193.5,10.273,0.151,67.3769,78.771,2.635,30.116,27.3258,9.875,3.4050565919878757
3194.0,10.298,0.15,67.9033,81.21,2.617,26.759,24.4703,9.875,3.286870865354009
3194.5,10.34,0.157,68.2431,82.451,2.595,25.552,23.4458,9.875,3.2407155914726564
3195.0,10.397,0.172,68.7878,82.661,2.583,27.19,24.866,9.875,3.3028492586443794
3195.5,10.475,0.175,68.8527,81.449,2.54,35.372,31.8352,9.875,3.5659205467134885
3196.0,10.49,0.155,68.384,78.241,2.499,51.152,45.0747,9.875,3.9348015923174855
3196.5,10.434,0.122,67.5445,78.649,2.498,66.367,57.8462,9.875,4.195199944991136
3197.0,10.382,0.091,66.7012,73.518,2.534,73.052,63.3965,9.875,4.291171516329795
3197.5,10.346,0.076,65.9285,66.22,2.604,69.211,60.1702,9.875,4.2371598095284675
3198.0,10.331,0.069,65.3071,60.649,2.628,62.628,54.6541,9.875,4.137212462449276
3198.5,10.335,0.068,65.2486,60.535,2.635,56.897,49.8427,9.875,4.041242615664993
3199.0,10.339,0.066,65.2647,61.096,2.639,52.249,45.9262,9.875,3.956020751905791
3199.5,10.34,0.059,65.2369,61.589,2.627,48.92,43.1114,9.875,3.890186310818972
3200.0,10.34,0.061,65.7553,62.465,2.614,47.268,41.7114,9.875,3.855833533776769
3200.5,10.343,0.061,65.6954,64.203,2.61,49.131,43.2914,9.875,3.89449020013584
3201.0,10.351,0.062,65.599,63.228,2.611,51.833,45.5806,9.875,3.948027012062334
3201.5,10.357,0.065,66.0229,57.998,2.613,51.476,45.2819,9.875,3.9411156796314186
3202.0,10.352,0.069,65.9368,56.24,2.618,48.017,42.3518,9.875,3.871555114872348
3202.5,10.358,0.072,65.8389,57.217,2.621,42.712,37.9219,9.875,3.754479911197885
3203.0,10.36,0.077,65.777,57.506,2.617,39.115,34.9291,9.875,3.666506025137044
3203.5,10.368,0.083,65.746,54.788,2.614,37.345,33.4519,9.875,3.6201990338090297
3204.0,10.362,0.084,66.1158,50.74,2.614,37.301,33.4128,9.875,3.6190201359418723
3204.5,10.361,0.088,66.3495,47.593,2.614,38.866,34.7213,9.875,3.6601198324425117
3205.0,10.354,0.09,66.0302,46.633,2.61,41.027,36.5198,9.875,3.7142303865496054
3205.5,10.345,0.086,65.4482,46.108,2.599,46.375,40.9556,9.875,3.8367605209275992
3206.0,10.335,0.082,65.0142,45.392,2.599,55.664,48.8036,9.875,4.019333618409586
3206.5,10.321,0.08,63.4568,46.386,2.591,65.506,57.0572,9.875,4.182141741499338
3207.0,10.307,0.081,61.8318,50.382,2.62,69.435,69.4508,9.875,4.2403910631513435
3207.5,10.301,0.086,60.5148,52.274,2.643,54.136,47.4981,9.875,3.9914993989299243
3208.0,10.299,0.095,59.4509,52.689,2.677,42.746,37.924,9.875,3.755275623753619
3208.5,10.306,0.118,59.1559,54.37,2.689,40.815,36.3233,9.875,3.7090496609033194
3209.0,10.324,0.142,59.5695,58.654,2.691,44.714,39.5639,9.875,3.8002866516880673
3209.5,10.343,0.166,59.9367,67.673,2.678,48.94,43.1287,9.875,3.8905950580145254
3210.0,10.361,0.175,61.3583,77.49,2.686,51.364,45.1882,9.875,3.9389375379690277
3210.5,10.378,0.161,62.7873,82.719,2.714,52.594,46.2359,9.875,3.9626020447963
3211.0,10.388,0.152,64.0518,80.202,2.718,53.449,46.9628,9.875,3.9787279282221366
3211.5,10.39,0.148,64.7794,78.691,2.704,54.762,48.0715,9.875,4.002996522762795
3212.0,10.398,0.136,64.7888,81.394,2.688,56.102,49.2051,9.875,4.027171462517068
3212.5,10.409,0.122,64.3397,83.179,2.674,57.369,50.2779,9.875,4.0495040877489465
3213.0,10.41,0.127,63.9934,81.345,2.664,54.982,48.2673,9.875,4.007005858939792
3213.5,10.41,0.138,63.6123,78.11,2.667,55.454,48.6652,9.875,4.015553848255038
3214.0,10.41,0.144,63.6083,76.437,2.669,57.802,50.6426,9.875,4.057023377155819
3214.5,10.418,0.144,63.6125,76.116,2.666,60.187,52.6523,9.875,4.097456382151044
3215.0,10.412,0.141,63.7311,74.278,2.652,62.176,56.9941,9.875,4.12996907319503
3215.5,10.417,0.132,64.5557,72.126,2.639,63.839,60.2742,9.875,4.156364288858468
3216.0,10.42,0.12,64.9052,73.696,2.632,64.816,63.7708,9.875,4.171552486460334
3216.5,10.414,0.12,65.2042,72.333,2.625,62.347,63.5719,9.875,4.1327155554913135
3217.0,10.411,0.127,65.6216,65.882,2.619,53.843,54.9999,9.875,3.9860724044379237
3217.5,10.405,0.139,65.9377,62.782,2.624,41.269,40.8842,9.875,3.720111612794887
3218.0,10.401,0.153,66.3047,61.712,2.625,31.409,31.3638,9.875,3.4470944760491595
3218.5,10.399,0.172,66.5596,63.164,2.62,25.065,26.154,9.875,3.2214724507154666
3219.0,10.408,0.189,66.8794,70.127,2.601,19.861,21.0522,9.875,2.9887580098166544
3219.5,10.431,0.2,67.3027,75.324,2.559,17.23,18.4345,9.875,2.8466520505398383
3220.0,10.46,0.208,67.7142,77.121,2.522,16.979,18.3321,9.875,2.8319772863338746
3220.5,10.48,0.21,68.1109,78.019,2.502,18.761,20.7383,9.875,2.9317802470614738
3221.0,10.496,0.206,67.8692,77.346,2.494,21.458,24.3935,9.875,3.0660975362145546
3221.5,10.505,0.201,67.7773,74.337,2.497,23.955,27.9961,9.875,3.1761770703350853
3222.0,10.496,0.195,67.7139,72.167,2.496,26.029,31.6254,9.875,3.2592113010576034
3222.5,10.478,0.191,67.3062,71.412,2.497,26.85,33.9147,9.875,3.2902658209548736
3223.0,10.463,0.197,67.2537,69.23,2.502,26.859,35.4605,9.875,3.2906009603201287
3223.5,10.463,0.194,67.1293,65.211,2.515,25.763,35.3124,9.875,3.2489393540825864
3224.0,10.477,0.198,67.0538,60.825,2.525,23.097,32.2,9.875,3.139702738964022
3224.5,10.478,0.203,66.9911,57.07,2.518,19.988,28.0653,9.875,2.9951320934819585
3225.0,10.46,0.203,66.896,56.198,2.506,17.275,24.2677,9.875,2.8492603696537335
3225.5,10.416,0.194,66.7562,60.322,2.511,14.857,20.3028,9.875,2.698471134655216
3226.0,10.303,0.182,66.5462,64.181,2.495,14.501,19.6521,9.875,2.674217612565758
3226.5,10.076,0.179,66.3326,64.579,2.476,16.138,22.4777,9.875,2.7811767394263147
3227.0,10.074,0.181,66.1043,60.334,2.469,18.965,27.6696,9.875,2.942595175140862
3227.5,10.132,0.177,65.8415,54.267,2.478,20.542,30.85,9.875,3.0224715707436127
3228.0,10.153,0.177,65.5675,50.215,2.491,18.39,26.8757,9.875,2.91180703861623
3228.5,10.134,0.179,65.3997,49.064,2.485,16.511,23.8674,9.875,2.8040268254496956
3229.0,9.76,0.177,65.3421,50.35,2.48,15.154,21.8101,9.875,2.718264523509182
3229.5,9.301,0.172,65.4047,53.582,2.483,14.731,21.1417,9.875,2.6899541168328014
3230.0,9.305,0.178,65.5347,55.082,2.486,15.211,21.8563,9.875,2.722018850329606
3230.5,9.562,0.188,65.652,53.672,2.495,15.95,22.9917,9.875,2.7694588292308535
3231.0,9.868,0.185,65.8238,55.238,2.49,16.514,23.8343,9.875,2.804208505995237
3231.5,10.111,0.188,66.0467,54.58,2.491,16.653,23.7292,9.875,2.812590380376134
3232.0,10.218,0.195,66.1854,52.701,2.485,15.749,21.3725,9.875,2.756776871192444
3232.5,10.244,0.199,66.321,59.593,2.484,16.395,22.0624,9.875,2.7969764102966117
3233.0,10.19,0.195,66.4398,63.63,2.48,16.641,21.891,9.875,2.811869529741207
3233.5,10.066,0.184,66.5205,62.863,2.476,16.061,20.0816,9.875,2.77639397308076
3234.0,10.034,0.179,66.6378,62.003,2.488,15.483,18.0179,9.875,2.7397426478347
3234.5,10.018,0.179,66.6894,60.915,2.504,15.58,15.8917,9.875,2.7459880404426023
3235.0,9.892,0.176,66.7365,58.893,2.5,18.043,16.8393,9.875,2.892757797926161
3235.5,9.741,0.163,66.8636,59.794,2.507,29.762,28.7788,9.875,3.3932324120078587
3236.0,9.708,0.152,67.0562,58.451,2.533,45.884,47.8755,9.875,3.826116472419021
3236.5,9.84,0.144,67.2837,58.48,2.549,63.315,72.3978,9.875,4.148122267902572
3237.0,9.933,0.143,67.9082,62.08,2.552,73.998,89.6027,9.875,4.304038065811906
3237.5,9.957,0.149,69.0406,66.2,2.568,69.36,82.6887,9.875,4.239310332472287
3238.0,9.959,0.161,70.7337,69.717,2.575,60.733,71.0621,9.875,4.106487207668482
3238.5,9.964,0.177,73.4191,72.255,2.564,52.54,60.7789,9.875,3.961574784257394
3239.0,9.969,0.194,76.0612,72.18,2.539,45.897,52.3817,9.875,3.8263997554533518
3239.5,9.97,0.205,76.1209,71.983,2.502,41.656,47.7769,9.875,3.729445415860598
3240.0,9.97,0.215,75.8422,76.631,2.441,39.049,46.0151,9.875,3.664817267763177
3240.5,9.973,0.225,75.0109,84.707,2.365,36.789,45.1693,9.875,3.6051988874479988
3241.0,9.982,0.236,73.3246,87.27,2.289,32.433,40.3452,9.875,3.479176422978744
3241.5,9.989,0.253,71.2895,90.447,2.213,21.996,23.6023,9.875,3.0908606186455683
3242.0,9.992,0.275,68.3323,93.64,2.137,19.244,17.9047,9.875,2.9571993238372074
3242.5,10.02,0.297,66.1495,93.042,2.062,19.356,18.0075,9.875,2.9630024489310722
3243.0,10.269,0.291,67.7084,94.314,1.986,21.916,20.2854,9.875,3.0872169636761693
3243.5,10.896,0.26,68.9415,92.126,2.014,27.835,25.5516,9.875,3.326294221635471
3244.0,10.523,0.196,69.6771,83.705,2.176,41.212,42.3859,9.875,3.718729476082822
3244.5,9.983,0.188,70.458,80.586,2.364,46.089,52.9043,9.875,3.8305743098166327
3245.0,9.77,0.189,70.9541,83.667,2.503,43.928,52.4002,9.875,3.7825519299765715
3245.5,9.7,0.19,70.9638,82.51,2.518,37.803,45.7107,9.875,3.6323884645556657
3246.0,9.675,0.213,70.4717,80.808,2.497,29.19,33.693,9.875,3.3738261848660236
3246.5,9.697,0.236,69.0373,80.932,2.455,25.813,28.9635,9.875,3.250878240993695
3247.0,9.762,0.258,67.8402,79.068,2.42,25.011,27.4639,9.875,3.219315728096586
3247.5,9.829,0.249,67.2184,78.254,2.412,27.142,30.9855,9.875,3.301082343659179
3248.0,9.855,0.228,66.6401,84.264,2.441,36.99,50.847,9.875,3.610647605844363
3248.5,9.843,0.216,66.0958,94.382,2.507,37.966,56.2703,9.875,3.63669102236835
3249.0,9.833,0.216,65.964,99.316,2.544,27.17,38.2882,9.875,3.3021134234382563
3249.5,9.839,0.218,66.3375,99.116,2.538,19.26,25.6001,9.875,2.9580304063699794
3250.0,9.846,0.225,66.3223,96.304,2.512,13.76,16.6096,9.875,2.6217658325051976
3250.5,9.823,0.219,66.5735,88.576,2.475,11.181,12.4026,9.875,2.414215909165231
3251.0,9.779,0.203,66.7614,81.61,2.462,11.673,12.9294,9.875,2.4572784826705263
3251.5,9.741,0.177,66.6939,76.246,2.479,12.987,14.1266,9.875,2.5639488571279534
3252.0,9.693,0.15,66.6551,71.135,2.513,15.546,16.9628,9.875,2.743803370808028
3252.5,9.646,0.128,67.0859,64.597,2.533,22.083,27.4896,9.875,3.0948080817446786
3253.0,9.605,0.108,67.0515,58.586,2.539,39.708,64.8848,9.875,3.6815526787274755
3253.5,9.573,0.095,67.4714,55.553,2.556,41.872,66.0872,9.875,3.73461734578779
3254.0,9.555,0.1,68.2327,54.373,2.581,34.701,48.6276,9.875,3.546768504981374
3254.5,9.555,0.113,69.8068,53.106,2.556,27.359,34.3153,9.875,3.3090455423787906
3255.0,9.568,0.128,72.5119,51.529,2.54,22.307,26.2243,9.875,3.104900530554645
3255.5,9.586,0.147,76.189,50.129,2.526,21.725,26.0601,9.875,3.078463671151456
3256.0,9.605,0.166,79.8863,49.094,2.509,23.83,29.4639,9.875,3.170945291110651
3256.5,9.621,0.189,83.3823,49.351,2.502,30.569,40.4389,9.875,3.419986423558737
3257.0,9.635,0.216,86.757,51.869,2.523,40.868,58.6286,9.875,3.7103473607291773
3257.5,9.663,0.242,86.1005,55.215,2.544,41.929,59.5434,9.875,3.735977711625676
3258.0,9.731,0.269,84.06,63.717,2.528,36.073,48.3276,9.875,3.5855446630676377
3258.5,9.832,0.295,81.0887,75.124,2.488,31.931,41.0265,9.875,3.4635773247455153
3259.5,9.928,0.29,72.4808,113.719,2.454,33.297,41.6684,9.875,3.505467302837952
3260.0,10.057,0.267,68.4598,116.258,2.423,38.919,50.3772,9.875,3.661482563256985
3260.5,10.401,0.214,64.7666,112.273,2.426,44.216,60.6157,9.875,3.7890867145309617
3261.0,10.211,0.19,65.2299,105.93,2.433,40.272,58.2402,9.875,3.69565643839296
3261.5,9.847,0.188,67.1597,98.931,2.433,28.45,41.7969,9.875,3.34814816057234
3262.0,9.519,0.19,70.2402,91.379,2.41,18.797,28.7304,9.875,2.9336972826344585
3262.5,9.331,0.198,71.2462,84.08,2.408,12.73,20.3549,9.875,2.543961412569315
3263.0,9.227,0.204,72.19,76.667,2.413,10.916,18.0425,9.875,2.390229602846092
3263.5,9.142,0.205,73.4488,67.114,2.401,11.613,19.3508,9.875,2.4521251602636207
3264.0,9.063,0.199,75.1531,62.776,2.402,12.057,20.1362,9.875,2.4896454041351737
3264.5,9.008,0.192,76.2436,59.456,2.408,11.727,19.3235,9.875,2.4618938754789275
3265.0,8.987,0.184,74.8483,56.837,2.404,10.658,16.9671,9.875,2.3663107838745905
3265.5,8.975,0.174,73.29,56.83,2.398,10.331,16.2669,9.875,2.335149083867308
3266.0,8.97,0.162,73.4441,58.745,2.411,10.981,17.6318,9.875,2.396166506615576
3266.5,8.974,0.151,72.7922,60.807,2.429,12.011,19.6187,9.875,2.485822896572353
3267.0,8.987,0.138,71.548,62.104,2.43,13.596,22.0133,9.875,2.6097756318338696
3267.5,9.009,0.129,69.4594,59.698,2.454,16.663,26.5691,9.875,2.8131906925564865
