,DEPTH,CAL,NPHI,DT,GR,RHOB,RLLD,RT,BS,positive_flag,negative_flag,RLLD_log
2936,4322.0,10.9142,0.1802,69.7209,93.86,2.6443000000000003,38.4005,35.442,9.25,,,3.6480704803422443
2937,4322.5,10.9214,0.1761,69.873,94.02,2.6361,42.3161,38.8707,9.25,,,3.7451676282940585
2938,4323.0,10.9289,0.162,69.8355,93.407,2.6405000000000003,43.7081,40.0865,9.25,,,3.777533439616562
2939,4323.5,10.921,0.1499,70.397,93.143,2.6683,40.1118,36.9431,9.25,,,3.691670555364417
2940,4324.0,10.9098,0.1752,70.3556,92.79,2.6836,35.8392,33.1761,9.25,,,3.5790422664290316
2941,4324.5,10.8984,0.201,70.1006,92.177,2.6428000000000003,32.0218,29.7642,9.25,,,3.466416920854281
2942,4325.0,10.8871,0.2269,69.7254,92.021,2.6167,29.916,27.8746,9.25,,,3.398393454329421
2943,4325.5,10.8758,0.2066,69.0582,90.301,2.6629,31.3317,29.142,9.25,,,3.444630364583626
2944,4326.0,10.8645,0.1863,68.3744,86.615,2.6714,39.2344,36.1633,9.25,,,3.669553912994046
2945,4326.5,10.8532,0.166,67.6396,81.217,2.6581,49.0221,44.6877,9.25,,,3.8922712168396574
2946,4327.0,10.8419,0.1467,64.4377,78.005,2.6836,63.4468,57.0932,9.25,,,4.150201759476454
2947,4327.5,10.8305,0.1288,61.7303,74.604,2.7007000000000003,85.9482,76.1573,9.25,,,4.453744789201186
2948,4328.0,10.8192,0.0965,59.5519,72.351,2.7157,116.5725,101.6824,9.25,,,4.758513397043026
2949,4328.5,10.8079,0.0672,57.7112,69.186,2.6936,138.7647,119.9432,9.25,,,4.932779692960614
2950,4329.0,10.7966,0.0656,56.2807,67.821,2.7023,122.3203,106.4229,9.25,,,4.806643014201187
2951,4329.5,10.7888,0.0829,54.9083,74.69,2.6833,100.7601,88.5447,9.25,,,4.612742443941241
2952,4330.0,10.7863,0.1027,53.6128,78.359,2.6905,83.0855,73.7354,9.25,,,4.4198701980685104
2953,4330.5,10.7836,0.1224,53.9333,78.942,2.6927,67.5828,60.6065,9.25,,,4.213353512804289
2954,4331.0,10.781,0.1332,53.997,78.136,2.6879,62.2434,56.0488,9.25,,,4.13105250562748
2955,4331.5,10.7783,0.1408,53.6485,75.254,2.7225,57.6941,52.1491,9.25,,,4.055154915252927
2956,4332.0,10.7757,0.1444,53.0048,72.194,2.7214,67.1093,60.2009,9.25,,,4.20632263347948
2957,4332.5,10.7731,0.1246,52.3783,71.064,2.6952000000000003,76.7019,68.3429,9.25,,,4.339926479904725
2958,4333.0,10.7703,0.1076,51.7582,71.431,2.6931000000000003,85.8489,76.0559,9.25,,,4.4525887742153865
2959,4333.5,10.7743,0.0873,51.3483,71.475,2.7097,72.8245,65.0585,9.25,,,4.288052437047813
2960,4334.0,10.7795,0.0932,51.2901,71.842,2.7183,62.4654,56.2377,9.25,,,4.134612803449298
2961,4334.5,10.7848,0.1042,51.4039,70.428,2.7151,58.2184,52.6002,9.25,,,4.064201455974881
2962,4335.0,10.79,0.1108,51.5519,64.726,2.7048,61.5399,55.4482,9.25,,,4.119685744933199
2963,4335.5,10.7952,0.0931,51.72,60.446,2.7046,73.4404,65.5858,9.25,,,4.2964741929204955
2964,4336.0,10.8004,0.071,51.9344,57.738,2.7119,87.6423,77.5704,9.25,,,4.473263758107232
2965,4336.5,10.8057,0.0495,52.2831,56.237,2.6864,101.5375,89.1952,9.25,,,4.620428188377073
2966,4337.0,10.8109,0.0424,52.4211,55.161,2.6933,106.3917,93.2362,9.25,,,4.667127566346002
2967,4337.5,10.8161,0.0406,52.3931,54.977,2.6737,114.195,99.7107,9.25,,,4.737907513426285
2968,4338.0,10.8213,0.0431,52.2265,55.282,2.6649000000000003,131.8805,114.296,9.25,,,4.88189620952179
2969,4338.5,10.8265,0.0351,51.9008,58.016,2.6839,156.5954,134.5006,9.25,,,5.053665408923485
2970,4339.0,10.8317,0.0323,51.8355,61.754,2.7007000000000003,151.7485,130.5546,9.25,,,5.022224545212006
2971,4339.5,10.837,0.0361,53.9735,65.293,2.7126,138.9863,120.1285,9.25,,,4.9343753671221435
2972,4340.0,10.8422,0.0403,56.5998,69.848,2.6772,117.2515,102.2462,9.25,,,4.764321200421529
2973,4340.5,10.8474,0.0481,59.5524,73.792,2.6612,97.9933,86.2497,9.25,,,4.5848991089864795
2974,4341.0,10.8526,0.0573,62.6631,78.972,2.6634,81.8982,72.7499,9.25,,,4.405477012595526
2975,4341.5,10.8578,0.0692,65.9345,85.335,2.6078,68.279,61.2155,9.25,,,4.223602252241957
2976,4342.0,10.8633,0.0866,68.9064,88.462,2.565,55.9877,50.7002,9.25,,,4.025132023752981
2977,4342.5,10.8668,0.1039,71.2294,92.044,2.5809,45.909,41.9868,9.25,,,3.826661176277009
2978,4343.0,10.9578,0.1352,72.1584,94.736,2.5412,37.3499,34.525,9.25,,,3.620330234199071
2979,4343.5,11.0855,0.1778,72.5158,96.095,2.4716,35.0319,32.4868,9.25,,,3.556259074962025
2980,4344.0,11.215,0.2204,72.8154,95.647,2.4836,34.0509,31.6347,9.25,,,3.5278564639642713
2981,4344.5,11.205,0.2377,73.3835,93.959,2.5159,35.9243,33.3046,9.25,,,3.5814139467369785
2982,4345.0,11.1532,0.2157,73.0064,91.216,2.5479,37.3499,34.5611,9.25,,,3.620330234199071
2983,4345.5,11.0679,0.1736,72.98,90.163,2.564,39.595,36.5159,9.25,,,3.6787028476623758
2984,4346.0,10.9748,0.1461,72.8635,94.413,2.5460000000000003,40.9685,37.7004,9.25,,,3.712803478733303
2985,4346.5,10.888,0.1358,71.9153,97.062,2.5601,35.4397,32.814,9.25,,,3.5678326606897652
2986,4347.0,10.9206,0.1686,71.4037,99.091,2.5203,31.5913,29.381,9.25,,,3.4528817662306373
2987,4347.5,11.1093,0.2172,72.4716,100.228,2.4431000000000003,28.9633,27.0565,9.25,,,3.366029511301919
